"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"MA0660.1",3.43363270672522e-18,2.13999916695548,0.341,0.015,2.56148999921701e-15
"MA0083.3",1.14299673609232e-15,1.86301812348489,0.537,0.121,8.52675565124868e-13
"MA0773.1",1.39002969508053e-15,1.76846644295882,0.287,0,1.03696215253008e-12
"MA0478.1",5.30867953437923e-14,3.11032239118911,0.506,0.167,3.96027493264691e-11
"MA1622.1",6.27615271103436e-14,3.11646191840302,0.573,0.152,4.68200992243163e-11
"MA0489.1",1.36983952381806e-13,3.06532059124075,0.567,0.152,1.02190028476827e-10
"MA0476.1",1.64191458315292e-13,2.82615500461473,0.53,0.136,1.22486827903208e-10
"MA0491.2",2.24217615794445e-13,2.67728069329247,0.585,0.197,1.67266341382656e-10
"MA1132.1",3.00735301192068e-13,2.30517116800049,0.573,0.152,2.24348534689283e-10
"MA1101.2",3.10678876403185e-13,2.44848115498307,0.549,0.182,2.31766441796776e-10
"MA1130.1",3.96282930022776e-13,2.8505324903986,0.628,0.167,2.95627065796991e-10
"MA1135.1",3.96282930022776e-13,2.80461574632494,0.622,0.136,2.95627065796991e-10
"MA0099.3",4.58353223472816e-13,2.82676398846797,0.622,0.167,3.41931504710721e-10
"MA1138.1",6.02720243131889e-13,2.70294524019951,0.604,0.136,4.49629301376389e-10
"MA0477.2",6.63658442137204e-13,2.75808243962144,0.555,0.197,4.95089197834354e-10
"MA0490.2",1.35928696844556e-12,2.57548526264211,0.585,0.182,1.01402807846039e-09
"MA1141.1",1.49456030012983e-12,2.89570024729647,0.604,0.167,1.11494198389686e-09
"MA1128.1",1.51835500538749e-12,2.77569444198309,0.573,0.152,1.13269283401906e-09
"MA1633.1",1.74992794430094e-12,2.17836324062905,0.53,0.182,1.3054462464485e-09
"MA1134.1",1.83456148066768e-12,2.76449691639653,0.604,0.182,1.36858286457809e-09
"MA1144.1",2.32175557389946e-12,2.68054522581985,0.628,0.197,1.732029658129e-09
"MA0462.2",2.80099515927936e-12,2.74241132594779,0.537,0.182,2.0895423888224e-09
"MA1634.1",2.80099515927936e-12,2.72896310249347,0.543,0.182,2.0895423888224e-09
"MA0841.1",2.935217472927e-12,2.22805077299184,0.573,0.212,2.18967223480354e-09
"MA1137.1",3.12403247736005e-12,2.65926607027846,0.61,0.197,2.3305282281106e-09
"MA0835.2",4.97435302089029e-12,2.55576427036965,0.543,0.212,3.71086735358416e-09
"MA1142.1",5.80320432473114e-12,2.43503595505635,0.64,0.197,4.32919042624943e-09
"MA0655.1",8.51336636143068e-12,2.27078378735821,0.61,0.182,6.35097130562729e-09
"MA0052.4",1.71001695682228e-11,1.31189340074203,0.293,0.015,1.27567264978942e-08
"MA0497.1",6.10314309863566e-10,1.2093142979276,0.293,0.03,4.5529447515822e-07
"MA0496.3",3.47698732859432e-09,1.44894519114068,0.482,0.152,2.59383254713137e-06
"MA1558.1",1.18827728530338e-08,1.16613033625804,0.256,0.03,8.86454854836322e-06
"MA0738.1",1.30000385448581e-08,1.16904280606529,0.36,0.076,9.69802875446411e-06
"MA0150.2",1.4964824450731e-08,1.30839021310742,0.47,0.197,1.11637590402453e-05
"MA0591.1",7.56656677943842e-08,1.25868106353916,0.512,0.212,5.64465881746106e-05
"MA1114.1",1.31749143551233e-07,0.924103434799014,0.476,0.227,9.82848610892196e-05
"MA0782.2",1.43226551326189e-07,0.94680624364795,0.494,0.227,0.000106847007289337
"MA1559.1",1.5201068674068e-07,1.13214879686164,0.256,0.045,0.000113399972308547
"MA0089.2",2.38060535502058e-07,1.40084540085182,0.512,0.288,0.000177593159484536
"MA0501.1",5.59361975442428e-07,1.1555465130582,0.482,0.227,0.000417284033680051
"MA1631.1",6.33722787959886e-07,0.944224338977399,0.28,0.091,0.000472757199818075
"MA0830.2",8.49286176012478e-07,1.01271650168833,0.232,0.076,0.000633567487305309
"MA0739.1",4.55897071498025e-06,0.924631278053491,0.262,0.106,0.00340099215337527
"MA0859.1",5.55914242169459e-06,0.813036796131916,0.451,0.258,0.00414712024658416
"MA1621.1",1.13796334000544e-05,0.860436515682478,0.268,0.121,0.00848920651644056
"MA1648.1",1.43289154385371e-05,0.84705318453766,0.244,0.106,0.0106893709171487
"MA0522.3",2.02529533895254e-05,0.833136391416687,0.25,0.091,0.015108703228586
"MA0745.2",2.81921582276735e-05,0.926547525568919,0.25,0.076,0.0210313500378445
"MA0108.2",3.51551936213004e-05,0.735286231910378,0.445,0.136,0.0262257744414901
"MA1521.1",4.09311527846187e-05,0.603350127065753,0.604,0.379,0.0305346399773256
"MA0103.3",6.35583030173111e-05,0.761907232383074,0.268,0.091,0.0474144940509141
"MA1520.1",0.000115916072064128,0.592173784064234,0.604,0.348,0.0864733897598393
"MA1587.1",0.000148679058356047,0.585232272352354,0.341,0.121,0.110914577533611
"MA1643.1",0.000250428726638894,0.608380524517674,0.561,0.318,0.186819830072615
"MA1637.1",0.000334073782248844,0.646996106397349,0.659,0.5,0.249219041557637
"MA1604.1",0.00033972983727061,0.66233976873809,0.72,0.5,0.253438458603875
"MA1531.1",0.000372473190148124,0.593100523829969,0.451,0.288,0.2778649998505
"MA1527.1",0.000394821623878996,0.615286521991312,0.561,0.288,0.294536931413731
"MA0820.1",0.00048927207890619,0.64057858528258,0.317,0.152,0.364996970864018
"MA1620.1",0.000604465614787724,0.670239326682934,0.323,0.121,0.450931348631642
"MA0154.4",0.000715428845718443,0.544329918252926,0.695,0.606,0.533709918905958
"MA0119.1",0.00101977341045268,0.528964910343459,0.457,0.303,0.760750964197698
"MA0513.1",0.00118116472959265,0.641398700890374,0.421,0.273,0.881148888276118
"MA0258.2",0.00137630345361767,0.524421115214473,0.573,0.348,1
"MA0503.1",0.00175121123028487,0.443521223325497,0.451,0.273,1
"MA0806.1",0.00207637859913158,0.517723101825459,0.311,0.227,1
"MA0807.1",0.00207637859913158,0.517723101825459,0.311,0.227,1
"MA0822.1",0.00221804708968926,0.469850538732905,0.335,0.212,1
"MA1597.1",0.00285725514648471,0.454998190082715,0.585,0.364,1
"MA0857.1",0.00363507980103785,0.444347730811049,0.427,0.258,1
"MA0017.2",0.00366062773444878,0.460575888746955,0.482,0.348,1
"MA0821.1",0.00395262796899217,0.500042317649812,0.335,0.182,1
"MA0499.2",0.00403585466860699,0.484691791580652,0.433,0.258,1
"MA0032.2",0.00492629561393468,0.408159913416658,0.488,0.364,1
"MA1596.1",0.00661914414058714,0.269191087647065,0.317,0.152,1
"MA1628.1",0.0120904916103498,0.385184184045364,0.439,0.303,1
"MA0597.1",0.0137593045579922,0.415289425184268,0.409,0.242,1
"MA0595.1",0.0192422056263105,0.402458084603524,0.409,0.318,1
"MA0829.2",0.0234317961946079,0.391270940568178,0.396,0.227,1
"MA1576.1",0.024805864611068,0.346450381787302,0.488,0.318,1
"MA1594.1",0.029354672056114,0.292225795899903,0.561,0.515,1
"MA1532.1",0.03404481666886,0.307690829384275,0.518,0.424,1
"MA0728.1",0.0353605422830489,0.379615134158681,0.409,0.288,1
"MA1575.1",0.0363267003622936,0.290943076372171,0.488,0.379,1
"MA0063.2",0.0399932817675655,0.31969997710107,0.506,0.348,1
"MA0737.1",0.0435114985764401,0.350140324100272,0.537,0.439,1
"MA0783.1",0.0458404950430712,0.409226064351055,0.488,0.394,1
"MA1567.1",0.0482736328545747,0.265905952433193,0.348,0.242,1
"MA0066.1",0.0531958514578565,0.336225479248888,0.451,0.333,1
"MA0646.1",0.0551119693688315,0.259885547460091,0.354,0.197,1
"MA0764.2",0.0576597617824878,0.30937625847966,0.409,0.364,1
"MA1654.1",0.058530487569352,0.342019807115535,0.506,0.424,1
"MA1539.1",0.0658966820223078,0.324262197389499,0.61,0.515,1
"MA0116.1",0.0695196549042236,0.257497294838837,0.5,0.379,1
"MA1528.1",0.0715637762484677,0.286240523296729,0.555,0.409,1
"MA0761.2",0.0719092045309792,0.341555397161612,0.5,0.409,1
"MA0752.1",0.0729536918181295,0.272849194369714,0.567,0.424,1
"MA1538.1",0.0733046007980407,0.30338780101364,0.598,0.485,1
"MA1632.1",0.0893345422962928,0.28433282925094,0.585,0.47,1
"MA0062.3",0.0939694834821351,0.267447902260819,0.476,0.364,1
"MA1572.1",0.0974599606459457,0.281473503518023,0.494,0.394,1
"MA0105.4",0.106165596067115,0.347548605448097,0.451,0.394,1
"MA1100.2",0.107116766500346,0.261312996473773,0.506,0.424,1
"MA0887.1",0.110989128689296,0.250892841552324,0.482,0.424,1
"MA0792.1",0.117516477989291,0.266656526205133,0.488,0.439,1
"MA0729.1",0.127047207713147,0.270884176541984,0.482,0.47,1
"MA0814.2",0.13372810557945,0.269856682748584,0.378,0.303,1
"MA0111.1",0.136014474493527,0.250176578433548,0.463,0.409,1
"MA0019.1",0.167198644287732,0.264761564852153,0.457,0.439,1
"MA0734.2",0.2153961660968,0.258272777189167,0.488,0.409,1
